State,July 2020(P),Rank
,rate,
Utah,4.5,1
Nebraska,4.8,2
Idaho,5,3
Kentucky,5.7,4
South Dakota,6.3,5
Montana,6.4,6
Iowa,6.6,7
North Dakota,6.6,7
Missouri,6.9,9
Wisconsin,7,10
Arkansas,7.1,11
Oklahoma,7.1,11
Wyoming,7.1,11
Kansas,7.2,14
Colorado,7.4,15
Georgia,7.6,16
Maryland,7.6,16
Minnesota,7.7,18
Indiana,7.8,19
Alabama,7.9,20
Texas,8,21
Virginia,8,21
New Hampshire,8.1,23
Vermont,8.3,24
District of Columbia,8.4,25
North Carolina,8.5,26
South Carolina,8.6,27
Michigan,8.7,28
Ohio,8.9,29
Louisiana,9.4,30
Tennessee,9.5,31
Maine,9.9,32
West Virginia,9.9,32
Connecticut,10.2,34
Washington,10.3,35
Delaware,10.4,36
Oregon,10.4,36
Arizona,10.6,38
Mississippi,10.8,39
Rhode Island,11.2,40
Florida,11.3,41
Illinois,11.3,41
Alaska,11.6,43
New Mexico,12.7,44
Hawaii,13.1,45
California,13.3,46
Pennsylvania,13.7,47
New Jersey,13.8,48
Nevada,14,49
New York,15.9,50
Massachusetts,16.1,51
